emdb_id,FSC_original,FSC_curated,group
EMD-18249,2.91,2.77,amyloid
EMD-9232,2.58,2.56,amyloid
EMD-33719,2.3,2.23,amyloid
EMD-27090,3.03,2.89,amyloid
EMD-18448,3.13,3.03,amyloid
EMD-0528,3.36,3.23,amyloid
EMD-33934,4.19,3.45,amyloid
EMD-27085,3.4,3.21,amyloid
EMD-28932,2.25,2.25,non-amyloid
EMD-17056,3.46,3.28,non-amyloid
EMD-15118,3.53,3.22,non-amyloid
EMD-32033,3.43,3.43,microtubule
EMD-15119,3.56,3.39,microtubule
EMD-15120,3.76,3.43,microtubule
EMD-40192,3.17,3.13,non-amyloid
EMD-0614,3.12,2.24,microtubule
EMD-34081,4.02,3.84,non-amyloid
EMD-16435,4.5,4.4,microtubule
EMD-28063,5.28,4.75,non-amyloid
EMD-40197,5.08,4.74,non-amyloid
EMD-31953,6.41,6.04,non-amyloid
EMD-34879,8.17,8.1,non-amyloid
EMD-41844,3.11,2.99,non-amyloid
EMD-46909,3.4,3.23,amyloid
EMD-46904,2.59,2.46,amyloid
EMD-43868,4.54,3.36,microtubule
EMD-43829,3.41,3.1,microtubule
EMD-42294,3.35,3.35,amyloid
EMD-38108,2.0,1.83,amyloid
EMD-35972,2.68,2.68,amyloid
EMD-38103,3.02,3.01,amyloid
EMD-52463,3.2,3.17,microtubule
EMD-50174,3.86,3.68,microtubule
EMD-50177,3.58,3.53,microtubule
EMD-50178,3.59,3.54,microtubule
EMD-51003,3.13,2.98,non-amyloid
EMD-38733,3.11,3.02,amyloid
