emdb_id,group,resolution (??),rise_deposited (??),twist_deposited (??),csym_deposited,curated_rise (??),curated_twist (??),curated_csym,vector difference,axes order,cc_emdb,cc_curated,validated,update,reason,reason 1,reason 2
EMD-45563,non-amyloid,2.8,28.266,-167.687,C1,27.3967217,-167.2364429,1,0.874321739,,0.579515479,0.695646757,Yes,improve,adjusted decimals,,
EMD-45566,non-amyloid,2.7,27.44,-167.32,C1,27.37370824,-167.0115472,1,0.09457442,,0.710408172,0.707900874,Yes,equal,,,
EMD-44013,non-amyloid,2.98,27.6,-166.66,C1,27.51926155,-166.4082685,1,0.125920221,,0.950095503,0.957633649,Yes,equal,,,
EMD-45564,non-amyloid,2.7,27.758,-167.078,C1,27.39917501,-167.2780141,1,0.361072087,,0.68856576,0.73095411,Yes,equal,,,
EMD-48243,non-amyloid,3.06,27.6,-166.66,C1,27.42418404,-166.666356,1,0.175831361,,0.695791303,0.707213465,Yes,equal,,,
EMD-48238,non-amyloid,2.97,27.6,-166.66,C1,27.50648511,-166.3746216,1,0.142210245,,0.659902308,0.670672327,Yes,equal,,,
EMD-19960,non-amyloid,2.6,15.52,-39.86,C1,15.5181946,-39.85245431,1,0.003363157,,0.918599851,0.918623324,Yes,equal,,,
EMD-19990,non-amyloid,2.38,15.282,-39.953,C1,15.28772338,-39.94264202,1,0.007054881,,0.907453011,0.907426943,Yes,equal,,,
EMD-19961,non-amyloid,2.37,5.4,107.9,C1,5.39753699,107.8999996,1,0.00246301,,0.916362343,0.916725463,Yes,equal,,,
EMD-45164,non-amyloid,3.4,37.062,25.75,C6,37.08184126,25.70004288,6,0.042986407,,0.775826848,0.778653264,Yes,equal,,,
EMD-39905,non-amyloid,3.32,27.4,-166.69,C1,27.65195568,-166.4126744,1,0.296433456,,0.957552346,0.954449268,Yes,equal,,,
EMD-38862,amyloid,3.2,2.408,179.669,C1,2.41140479,179.6792623,1,0.005708077,,0.873592303,0.880148907,Yes,equal,,,
EMD-38863,amyloid,2.8,2.415,179.666,C1,2.413651896,179.6621294,1,0.002092719,,0.886316877,0.884056491,Yes,equal,,,
EMD-39896,non-amyloid,3.19,27.3,-166.66,C1,27.73197079,-166.601419,1,0.433404097,,0.788705339,0.937802659,Yes,equal,,,
EMD-60135,non-amyloid,4.25,27.3,-166.66,C1,27.43376442,-166.5417286,1,0.138331359,,0.950628927,0.956413608,Yes,equal,,,
EMD-39904,non-amyloid,4.28,27.71,-166.8,C1,27.72427791,-166.5289417,1,0.154927751,,0.955286472,0.947224968,Yes,equal,,,
EMD-39906,non-amyloid,3.02,27.71,-166.8,C1,27.70336768,-166.4997851,1,0.180711662,,0.961925372,0.942029319,Yes,equal,,,
EMD-46565,non-amyloid,2.9,16,56,C1,15.66331094,54.89271619,1,0.571890417,,0.724275117,0.887453017,Yes,improve,adjusted decimals,,
EMD-19731,non-amyloid,3.1,4.328,23.27,C2,4.326879293,23.28736212,2,0.009275895,,0.786374487,0.866687336,Yes,equal,,,
EMD-19732,non-amyloid,3.79,5.821,20.78,C3,5.813917981,20.77513946,3,0.007563894,,0.900678878,0.898665699,Yes,equal,,,
EMD-46946,non-amyloid,3.3,16,178,C1,16.22003716,178.2919664,1,0.233634539,,0.77139043,0.857062617,Yes,equal,,,
EMD-51188,non-amyloid,3.2,27.3,56.13,C1,27.84310139,55.83341759,1,0.559371521,,0.607513294,0.594480258,Yes,equal,,,
EMD-51185,non-amyloid,4,23.87,57.53,C2,24.01737527,58.33042501,1,0.387067991,,0.666206891,0.667319893,Yes,equal,,,
EMD-43577,non-amyloid,2.6,9.1,157.5,C1,9.129235226,157.5000001,1,0.029235226,,0.934776539,0.966618593,Yes,equal,,,
EMD-43580,non-amyloid,2.7,9.3,157.5,C1,9.283122603,157.4596785,1,0.035989072,,0.906607495,0.966643475,Yes,equal,,,
EMD-51189,non-amyloid,3.04,27.3,56.13,C1,27.95157892,55.71644442,1,0.676566846,,0.568441769,0.560622174,Yes,equal,,,
EMD-43581,non-amyloid,2.6,16.1,-41.2,C2,16.13989895,-41.16232835,2,0.04836961,,0.936344579,0.96986791,Yes,equal,,,
EMD-48478,non-amyloid,3.5,13.366,28.094,C5,13.35581046,28.10183035,5,0.010555791,,0.866581067,0.866500763,Yes,equal,,,
EMD-61322,amyloid,3.18,2.397,179.602,C1,2.393333309,179.6078608,1,0.004304179,,0.855034336,0.854144672,Yes,equal,,,
EMD-19761,non-amyloid,4.2,15.4,59.2,C1,15.33945869,59.2912584,1,0.072017003,,0.926547538,0.926525775,Yes,equal,,,
EMD-61321,amyloid,3.39,4.82,-1.91,C1,4.84882214,-1.926739298,1,0.029708696,,0.861027473,0.866588699,Yes,equal,,,
EMD-51187,non-amyloid,3.08,27.3,56.13,C1,28.01581448,55.43928752,1,0.778093086,,0.57137945,0.570675415,Yes,equal,,,
EMD-51186,non-amyloid,3.6,24.55,57.27,C2,24.98586668,58.02399235,1,0.552755494,,0.601237771,0.608164748,Yes,equal,,,
EMD-43579,non-amyloid,2.5,16.1,-41.1,C2,16.0484825,-41.07057658,2,0.055322898,,0.923965838,0.968749938,Yes,equal,,,
EMD-46870,amyloid,3.1,2.375,179.5,C1,2.384970952,179.4999989,1,0.009970952,,0.964835417,0.927892392,Yes,equal,,,
EMD-46911,amyloid,3.17,4.752,-0.86,C1,4.751907396,-0.867277405,1,0.005343741,,0.971378838,0.970419815,Yes,equal,,,
EMD-46885,amyloid,3.2,4.751,-0.859,C1,4.745471944,-0.869115422,1,0.00897985,,0.970117252,0.96661191,Yes,equal,,,
EMD-19168,non-amyloid,2.54,5.641,107.922,C1,5.645462159,107.8999997,1,0.011490607,,0.920729383,0.918202503,Yes,equal,,,
EMD-19112,non-amyloid,2.61,5.188,106.047,C1,5.174465665,106.0440419,1,0.013581285,,0.929353999,0.926884632,Yes,equal,,,
EMD-48226,non-amyloid,3.22,41.77,17.9,C6,41.7621863,17.90623858,6,0.007897677,,0.940484019,0.940523984,Yes,equal,,,
EMD-51935,non-amyloid,2.3,3.178,12.094,C2,3.177702318,12.09357694,2,0.000351774,,0.968626089,0.968310285,Yes,equal,,,
EMD-43087,non-amyloid,3.58,28,-167,C1,28.2613481,-166.5495649,1,0.304303632,,0.889479997,0.939188321,Yes,equal,,,
